chain_id,pdb,uniprot,genes,location,function1,function2,species
58,1kl7.A,P16120,THR4 YCR053W YCR53W,,Catalyzes the gamma-elimination of phosphate from L-phosphohomoserine and the beta-addition of water to produce L-threonine. {ECO:0000250}.,pyridoxal phosphate binding [GO:0030170]; threonine synthase activity [GO:0004795],0
59,1kyq.A,P15807,MET8 YBR213W YBR1461,,Catalyzes the conversion of precorrin-2 into siroheme. This reaction consist of the NAD-dependent oxidation of precorrin-2 into sirohydrochlorin and its subsequent ferrochelation into siroheme. {ECO:0000269|PubMed:10051442}.,ferrochelatase activity [GO:0004325]; methionine synthase activity [GO:0008705]; precorrin-2 dehydrogenase activity [GO:0043115]; sirohydrochlorin ferrochelatase activity [GO:0051266],0
60,1lbq.A,P16622,HEM15 YOR176W,Mitochondrion inner membrane; Peripheral membrane protein; Matrix side. Note=It is bound to the mitochondrial inner membrane in eukaryotic cells with its active site on the matrix side of the membrane.,Catalyzes the ferrous insertion into protoporphyrin IX.,ferrochelatase activity [GO:0004325],0
61,1lkj.A,P06787,CMD1 YBR109C YBR0904,"Cytoplasm, cytoskeleton, microtubule organizing center, spindle pole body {ECO:0000269|PubMed:8247006}.","Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2+). Among the enzymes to be stimulated by the calmodulin-Ca(2+) complex are a number of protein kinases and phosphatases. Component of the spindle pole body (SPB) required for the proper execution of spindle pole body (SPB) duplication. {ECO:0000269|PubMed:10339566}.",calcium-dependent protein binding [GO:0048306]; calcium ion binding [GO:0005509]; mitogen-activated protein kinase binding [GO:0051019],0
62,1lxj.A,P35195,ECM15 YBL001C YBL0105,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,,,0
63,1m0w.A,Q08220,GSH2 YOL049W,,,ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803],0
64,1m2o.A,P15303,SEC23 YPR181C P9705.14,"Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:12235121, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:9568718}; Peripheral membrane protein {ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:8548805}; Cytoplasmic side {ECO:0000269|PubMed:8548805}. Cytoplasm {ECO:0000269|PubMed:8548805}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:8548805}; Peripheral membrane protein; Cytoplasmic side. Golgi apparatus membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}.","Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules. SEC23 interacts with BET3 in order to target TRAPPI complex to COPII involved in internalisation of plasma membrane proteins like the maltose transporter. {ECO:0000269|PubMed:10198022, ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:12941276, ECO:0000269|PubMed:14627716, ECO:0000269|PubMed:1498369, ECO:0000269|PubMed:16269340, ECO:0000269|PubMed:17287728, ECO:0000269|PubMed:2188733, ECO:0000269|PubMed:2670558, ECO:0000269|PubMed:3049622, ECO:0000269|PubMed:3293799, ECO:0000269|PubMed:6996832, ECO:0000269|PubMed:7026045, ECO:0000269|PubMed:7925484, ECO:0000269|PubMed:8451644, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:8909535, ECO:0000269|PubMed:9023343, ECO:0000269|PubMed:9427388, ECO:0000269|PubMed:9428766, ECO:0000269|PubMed:9624457}.",GTPase activator activity [GO:0005096]; zinc ion binding [GO:0008270],0
65,1m2o.B,P20606,SAR1 YPL218W,"Cytoplasmic vesicle, COPII-coated vesicle membrane; Peripheral membrane protein; Cytoplasmic side. Endoplasmic reticulum membrane; Peripheral membrane protein; Cytoplasmic side. Golgi apparatus membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Note=Membrane association requires the presence of the SEC12 exchange factor.","Small GTPase component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules. SAR1 controls the coat assembly in a stepwise manner. Activated SAR1-GTP by SEC12 binds to membranes first and recruits the SEC23/24 complex. These SEC23/24-SAR1 prebudding intermediates are then collected by the SEC13/31 complex as subunits polymerize to form coated transport vesicles. Conversion to SAR1-GDP triggers coat release and recycles COPII subunits. {ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:11389436, ECO:0000269|PubMed:12912905, ECO:0000269|PubMed:14627716, ECO:0000269|PubMed:15665868, ECO:0000269|PubMed:1907973, ECO:0000269|PubMed:1907974, ECO:0000269|PubMed:2512296, ECO:0000269|PubMed:8106544, ECO:0000269|PubMed:8530490, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:9023343, ECO:0000269|PubMed:9428766, ECO:0000269|PubMed:9756629}.",GTPase activity [GO:0003924]; GTP binding [GO:0005525],0
66,1m2v.B,P40482,SEC24 ANU1 YIL109C,"Cytoplasm {ECO:0000269|PubMed:8548805}. Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:10753972, ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:12235121, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:9568718}; Peripheral membrane protein {ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:8548805}; Cytoplasmic side {ECO:0000269|PubMed:8548805}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:10712514, ECO:0000269|PubMed:8548805}; Peripheral membrane protein; Cytoplasmic side. Golgi apparatus membrane {ECO:0000305|PubMed:8548805}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}.","Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules. SEC24 specifically recruits cargo proteins like BET1 or SYS1 to the COPII vesicles. The SEC23/24 complex is also involved in internalisation of plasma membrane proteins like the maltose transporter. {ECO:0000269|PubMed:10198022, ECO:0000269|PubMed:10712514, ECO:0000269|PubMed:10720463, ECO:0000269|PubMed:10749860, ECO:0000269|PubMed:10753972, ECO:0000269|PubMed:11086000, ECO:0000269|PubMed:12655150, ECO:0000269|PubMed:12941277, ECO:0000269|PubMed:14627716, ECO:0000269|PubMed:16269340, ECO:0000269|PubMed:8548805, ECO:0000269|PubMed:9023343, ECO:0000269|PubMed:9428766}.",signal sequence binding [GO:0005048]; zinc ion binding [GO:0008270],0
67,1m38.A,P00817,IPP1 PPA PPA1 YBR011C YBR0202,Cytoplasm.,,inorganic diphosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287],0
68,1m45.A,P53141,MLC1 YGL106W G3080,"Bud neck {ECO:0000269|PubMed:10873803, ECO:0000269|PubMed:11082046}. Bud tip {ECO:0000269|PubMed:10873803, ECO:0000269|PubMed:11082046}. Note=Concentrates to sites of polarized growth, namely to the incipient bud site in G1, to the bud tip during S and G2 phases of the cell cycle and to the bud neck during cytokinesis. {ECO:0000269|PubMed:11082046}.","Essential light chain for the class II conventional myosin MYO1. Acts also as light chain for the class V unconventional myosin MYO2 and for IQG1. Involved in the assembly of the contractile actomyosin ring at the bud neck during cytokinesis by recruiting IQG1 to the bud neck. Also required for chitin and MYO2-dependent secretory vesicle deposition to the center of the bud neck for septum formation. May stabilize MYO2 by binding to its IQ domains. Its major function is probably not to regulate MYO1 activity, but rather to coordinate actin ring formation and targeted membrane deposition during cytokinesis via its interactions with MYO1, IQG1 and MYO2. {ECO:0000269|PubMed:12456647, ECO:0000269|PubMed:15210731, ECO:0000269|PubMed:9700160}.",calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; myosin II heavy chain binding [GO:0032038]; myosin V binding [GO:0031489],0
69,1m6x.A,P03870,FLP1 R0010W,,"Part of the plasmid amplification system, which corrects any decrease in copy number caused by a rare missegregation event. Catalyzes the recombination between the large inverted repetitions of the 2-micron plasmid during plasmid replication. This recombination event changes the direction of one of the two replication forks in the bidirectionally replicating molecule, effectively resulting in multiple rounds of replication from a single initiation event. Binds specifically to the FLP recognition target (FRT) site where it induces DNA to bend. Three types of bend exist. Type I is approximately 60 degrees and results from 1 FLP molecule binding to 1 symmetry element. Type II is >144 degrees and results from FLP molecules binding to symmetry elements a and b. Type III is approximately 65 degrees and results from FLP molecules binding to symmetry elements b and c. {ECO:0000269|PubMed:2040639, ECO:0000269|PubMed:2254930, ECO:0000269|PubMed:3316982}.","DNA binding, bending [GO:0008301]; double-stranded DNA binding [GO:0003690]; single-stranded DNA binding [GO:0003697]; site-specific recombinase activity [GO:0009009]",0
70,1m94.A,Q6Q546,HUB1 YNR032C-A,,Forms conjugate with SPH1 and HBT1. Involved in morphogenesis. {ECO:0000269|PubMed:11923536}.,protein tag [GO:0031386],0
71,1mh3.A,P0CY11,HMRA1 YCR097W YCR97W,Nucleus.,Mating type proteins are sequence specific DNA-binding proteins that act as master switches in yeast differentiation by controlling gene expression in a cell type-specific fashion. Silenced copy of A1 at HMR.,sequence-specific DNA binding [GO:0043565]; transcription corepressor activity [GO:0003714],0
72,1moz.A,P38116,ARL1 ARF3 YBR164C YBR1216,"Golgi apparatus {ECO:0000269|PubMed:12620188, ECO:0000269|PubMed:12620189}.","Recruits golgins such as IMH1 to the Golgi. Can bind and hydrolyze GTP. May be involved in trafficking events within the endosomal system. {ECO:0000269|PubMed:12052896, ECO:0000269|PubMed:12620188, ECO:0000269|PubMed:12620189}.",GTPase activity [GO:0003924]; GTP binding [GO:0005525],0
73,1mqs.A,P22213,SLY1 YDR189W YD9346.01 YD9395.22,Cytoplasm. Membrane; Peripheral membrane protein.,"Able to suppress the functional loss of YPT1. SLY1 is essential for cell viability. May interact indirectly, or directly with YPT1.",SNARE binding [GO:0000149]; syntaxin binding [GO:0019905],0
74,1mr3.F,P19146,ARF2 YDL137W D2165,Golgi apparatus {ECO:0000269|PubMed:14562095}.,GTP-binding protein involved in protein trafficking; may modulate vesicle budding and uncoating within the Golgi apparatus.,GTPase activity [GO:0003924]; GTP binding [GO:0005525],0
75,1n0u.A,P32324,EFT1 YOR133W O3317 YOR3317W; EFT2 YDR385W,Cytoplasm {ECO:0000269|PubMed:14562095}.,"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome. {ECO:0000269|PubMed:14976550}.",GTPase activity [GO:0003924]; GTP binding [GO:0005525]; rRNA binding [GO:0019843]; translation elongation factor activity [GO:0003746],0
76,1n6z.A,Q03759,YML108W YM8339.11,,,,0
77,1n8p.A,P31373,CYS3 CYI1 STR1 YAL012W FUN35,Cytoplasm.,,cystathionine gamma-lyase activity [GO:0004123]; cystathionine gamma-synthase activity [GO:0003962]; L-cysteine desulfhydrase activity [GO:0080146]; L-cystine L-cysteine-lyase (deaminating) [GO:0044540]; pyridoxal phosphate binding [GO:0030170],0
78,1njr.A,Q04299,YMR087W YM9582.12,,Highly specific phosphatase involved in the metabolism of ADP-ribose 1''-phosphate (Appr1p) which is produced as a consequence of tRNA splicing. + phosphate.,phosphatase activity [GO:0016791],0
79,1nkq.A,P53889,FMP41 YNL168C N1696,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.",,hydrolase activity [GO:0016787]; metal ion binding [GO:0046872],0
80,1nyn.A,P38804,RTC3 YHR087W,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,"May play a role in RNA metabolism, rRNA-processing, and in a process influencing telomere capping. {ECO:0000269|PubMed:18845848}.",RNA binding [GO:0003723],0
81,1o59.A,P25335,DAL2 ALC1 YIR029W,,"Utilization of purines as secondary nitrogen sources, when primary sources are limiting.",allantoicase activity [GO:0004037],0
82,1ocs.A,Q08826,SNX3 GRD19 YOR357C,Cytoplasm {ECO:0000269|PubMed:9456318}. Golgi apparatus membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Prevacuolar compartment membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Note=Mainly cytoplasmic. A minor amount associates with membranes.,Required for retention of late Golgi membrane proteins. Component of the retrieval machinery that functions by direct interaction with the cytosolic tails of certain TGN membrane proteins during the sorting/budding process at the prevacuolar compartment. Binds phosphatidylinositol 3-phosphate (PtdIns(P3)). {ECO:0000269|PubMed:9456318}.,phosphatidylinositol-3-phosphate binding [GO:0032266],0
83,1odf.A,P42938,TDA10 YGR205W G7737,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,ATP-dependent kinase whose specificity is not yet known.,ATP binding [GO:0005524]; uridine kinase activity [GO:0004849],0
84,1of8.A,P32449,ARO4 YBR249C YBR1701,,Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP).,3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849],0
85,1p1j.A,P11986,INO1 YJL153C J0610,Cytoplasm.,,inositol-3-phosphate synthase activity [GO:0004512],0
86,1p6o.A,Q12178,FCY1 YPR062W YP9499.17,,Converts cytosine to uracil or 5-methylcytosine to thymine by deaminating carbon number 4.,5-fluorocytosine deaminase activity [GO:0102480]; cytosine deaminase activity [GO:0004131]; zinc ion binding [GO:0008270],0
87,1pgu.A,P46680,AIP1 YMR092C YM9582.17C,"Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, actin patch.",Involved in the depolymerization of actin filaments. Enhances the filament disassembly activity of cofilin and restricts cofilin localization to cortical actin patches. {ECO:0000269|PubMed:10366597}.,actin binding [GO:0003779]; actin filament binding [GO:0051015],0
88,1piw.A,Q04894,ADH6 YMR318C YM9924.10C,,NADP-dependent alcohol dehydrogenase with a broad substrate specificity.,alcohol dehydrogenase (NADP+) activity [GO:0008106]; hydroxymethylfurfural reductase (NADH) activity [GO:0033833]; hydroxymethylfurfural reductase (NADPH) activity [GO:0033845]; zinc ion binding [GO:0008270],0
89,1pjh.A,Q05871,ECI1 YLR284C,"Peroxisome {ECO:0000269|PubMed:10381339, ECO:0000269|PubMed:11302517, ECO:0000269|PubMed:9837886}. Note=This location is DCI1 dependent.",Essential for the beta oxidation of unsaturated fatty acids. {ECO:0000269|PubMed:9837886}.,dodecenoyl-CoA delta-isomerase activity [GO:0004165],0
90,1q14.A,P53686,HST2 YPL015C LPA2C,"Cytoplasm. Nucleus. Note=Shuttles between the nucleus and cytoplasm, but is largely cytoplasmic owing to efficient nuclear export. Nuclear exclusion is mediated by the exportin CRM1.","NAD-dependent histone deacetylase that is involved in nuclear silencing events. Derepresses subtelomeric silencing and increases repression in nucleolar (rDNA) silencing. Its function is negatively regulated by active nuclear export. {ECO:0000269|PubMed:10811920, ECO:0000269|PubMed:11106374, ECO:0000269|PubMed:11226170, ECO:0000269|PubMed:15274642, ECO:0000269|PubMed:17110954}.",NAD+ binding [GO:0070403]; NAD-dependent histone deacetylase activity [GO:0017136]; NAD-dependent histone deacetylase activity (H4-K16 specific) [GO:0046970]; zinc ion binding [GO:0008270],0
